Method,Level,FrameStart,FrameEnd,ExpectedNumFrames,SpatialNumFrames,PSNR,SSIM,Trajectory_Jitter,SecondOrder_Smoothness,Mean_IoU_Continuity,Confidence_Variance,Num_Tracked_Frames,Num_Valid_IoU_Pairs,Num_Track_IDs,Num_Detections,TrackCSV
GT,low,2,2246,2245,2245,,,15.450155141559437,33.4252291004835,0.9662444873540035,0.005469800383757606,1254,1707,23,1838,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/GT_low_tracks.csv
GT,mid,2,2246,2245,2245,,,15.450155141559437,33.4252291004835,0.9662444873540035,0.005469800383757606,1254,1707,23,1838,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/GT_mid_tracks.csv
GT,high,2,2246,2245,2245,,,15.450155141559437,33.4252291004835,0.9662444873540035,0.005469800383757606,1254,1707,23,1838,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/GT_high_tracks.csv
Blurred,low,2,2246,2245,2245,18.291182015073964,0.6513911818613545,180.31593795053365,405.6847670701999,0.9244564598164249,0.0074051491922043945,1267,1317,18,1655,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/Blurred_low_tracks.csv
Blurred,mid,2,2246,2245,2245,18.12563500518834,0.637901240702652,114.57007099789992,292.70225996191937,0.9284991153147208,0.005220554740786547,1078,1123,22,1404,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/Blurred_mid_tracks.csv
Blurred,high,2,2246,2245,2245,17.650925738785062,0.5972967837967139,104.60172598319164,280.71451719582217,0.9051850264148253,0.007273809664509615,841,707,18,996,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/Blurred_high_tracks.csv
VSRNet,low,2,2246,2245,2245,18.897004347413162,0.6839456827493424,62.820601964481156,120.79502045339969,0.9517867733743453,0.004902481350905018,1527,1726,38,2065,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/VSRNet_low_tracks.csv
VSRNet,mid,2,2246,2245,2245,19.038854975240067,0.681049505325416,92.96542887387703,218.95921666995395,0.9542536183097027,0.004228017584038309,1513,1692,35,2060,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/VSRNet_mid_tracks.csv
VSRNet,high,2,2246,2245,2245,18.97081060199009,0.6553991819918215,41.406604798021235,98.30095984983332,0.9464922857837142,0.005598195307631916,1241,1251,27,1539,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/VSRNet_high_tracks.csv
FastDVDnet,low,2,2246,2245,2245,18.309817855743436,0.6507777631855217,97.55078308446275,296.6927235272472,0.928341496320161,0.007282006109462864,1300,1372,18,1695,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/FastDVDnet_low_tracks.csv
FastDVDnet,mid,2,2246,2245,2245,18.144785531718803,0.6373524043146978,129.29897678103953,341.0590589242629,0.9357051799320806,0.005319833128781855,1135,1171,24,1477,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/FastDVDnet_mid_tracks.csv
FastDVDnet,high,2,2246,2245,2245,17.67080544041553,0.5969198488493888,98.10105579532174,250.71216103766392,0.9017465940518067,0.007671678800591407,877,772,18,1051,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/FastDVDnet_high_tracks.csv
VRT,low,2,2246,2245,2245,18.290399813249994,0.6510807627499954,34.50349410425123,87.38732575442432,0.9169429680288799,0.007192816222416412,1360,1413,18,1789,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/VRT_low_tracks.csv
VRT,mid,2,2246,2245,2245,18.122828030263733,0.6372806114657162,46.187401406357566,120.10170862399258,0.9095785052385229,0.005644780293808393,1196,1192,20,1535,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/VRT_mid_tracks.csv
VRT,high,2,2246,2245,2245,17.644531819952473,0.5961960135791858,124.0947836779872,115.65588638927973,0.8951614033364238,0.007668392810524119,872,769,19,1028,/root/autodl-tmp/data/eval_tables/outputs/tracking_cache/VRT_high_tracks.csv
